,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,engine_rpm,torque
0,Maruti Swift Dzire VDI,2014.0,450000.0,145500.0,1,1,1,0,23.4,1248.0,74.0,5.0,2000.0,190.0
1,Honda City 2017-2020 EXi,2006.0,158000.0,140000.0,3,1,1,4,17.7,1497.0,78.0,5.0,2000.0,190.0
2,Skoda Rapid 1.5 TDI Ambition,2014.0,370000.0,120000.0,1,1,1,2,21.14,1498.0,103.52,5.0,2500.0,250.0
3,Maruti Swift VXI BSIII,2007.0,130000.0,120000.0,3,1,1,0,16.1,1298.0,88.2,5.0,2500.0,250.0
4,Hyundai i20 Sportz Diesel,2010.0,225000.0,127000.0,1,1,1,0,23.0,1396.0,90.0,5.0,2750.0,219.66895999999997
5,Maruti Wagon R LXI DUO BSIII,2007.0,96000.0,175000.0,2,1,1,0,17.3,1061.0,57.5,5.0,2750.0,219.66895999999997
6,Hyundai Xcent 1.2 VTVT E Plus,2017.0,440000.0,45000.0,3,1,1,0,20.14,1197.0,81.86,5.0,4000.0,113.75
7,Hyundai i20 1.2 Sportz,2012.0,275000.0,93000.0,3,1,1,2,17.0,1197.0,80.0,5.0,4000.0,113.75
8,Maruti 800 DX BSII,2001.0,45000.0,5000.0,3,1,1,2,16.1,796.0,37.0,4.0,2500.0,59.0
9,Hyundai Accent GLE,2007.0,80000.0,120000.0,3,1,1,2,13.2,1495.0,94.0,5.0,2500.0,59.0
10,Toyota Etios VXD,2011.0,350000.0,90000.0,1,1,1,0,23.59,1364.0,67.1,5.0,2400.0,170.0
11,Hyundai Getz 1.3 GVS,2008.0,110000.0,120000.0,3,1,1,2,14.2,1341.0,82.9,5.0,2400.0,170.0
12,Ford Figo Diesel Celebration Edition,2013.0,200000.0,169000.0,1,1,1,0,20.0,1399.0,68.1,5.0,2000.0,160.0
13,Hyundai i20 1.2 Magna,2012.0,320000.0,100000.0,3,1,1,2,18.5,1197.0,80.0,5.0,2000.0,160.0
14,Renault Duster 110PS Diesel RxL,2014.0,500000.0,68000.0,1,1,1,2,19.01,1461.0,108.45,5.0,2250.0,248.0
15,Hyundai Accent GLE,2008.0,114999.0,95200.0,3,1,1,4,13.2,1495.0,94.0,5.0,2250.0,248.0
16,Maruti Zen LX,2005.0,92000.0,100000.0,3,1,1,2,17.3,993.0,60.0,5.0,4500.0,78.0
17,Hyundai i20 1.2 Asta,2010.0,300000.0,70000.0,3,1,1,0,17.0,1197.0,80.0,5.0,4500.0,78.0
18,Maruti Swift Dzire VDi,2009.0,280000.0,140000.0,1,1,1,2,19.3,1248.0,73.9,5.0,2000.0,190.0
19,Maruti Swift ZXI ABS,2011.0,325000.0,58000.0,3,1,1,4,16.1,1298.0,88.2,5.0,2000.0,190.0
20,Hyundai i20 1.2 Asta,2010.0,254999.0,80000.0,3,1,1,1,17.0,1197.0,80.0,5.0,3500.0,84.0
21,Maruti Wagon R LXI Minor,2009.0,180000.0,90000.0,3,1,1,2,18.9,1061.0,67.0,5.0,3600.0,115.0
22,Hyundai Verna XXi ABS (Petrol),2009.0,340000.0,214000.0,3,1,1,2,13.9,1599.0,103.2,5.0,3600.0,115.0
23,Mahindra KUV 100 mFALCON G80 K8 5str,2016.0,400000.0,40000.0,3,1,1,0,18.15,1198.0,82.0,5.0,1750.0,200.0
24,Hyundai Verna CRDi SX,2009.0,340000.0,214000.0,1,1,1,2,16.8,1493.0,110.0,5.0,1750.0,200.0
25,Maruti Ertiga SHVS VDI,2016.0,778000.0,70000.0,1,1,1,2,24.52,1248.0,88.5,7.0,2750.0,219.66895999999997
26,Tata Indigo LS,2012.0,95000.0,265000.0,1,1,1,2,17.0,1405.0,70.0,5.0,2750.0,219.66895999999997
27,Hyundai i20 1.4 CRDi Asta,2012.0,500000.0,53000.0,1,1,1,2,23.0,1396.0,90.0,5.0,3000.0,62.0
28,Tata Indigo CS LX DiCOR,2010.0,140000.0,40000.0,1,1,1,0,16.6,1405.0,70.0,5.0,3000.0,62.0
29,Maruti Alto LX,2002.0,150000.0,80000.0,3,1,1,2,19.7,796.0,46.3,5.0,2750.0,219.7
30,Tata Indica V2 DLX BSII,2011.0,110000.0,50000.0,1,1,1,0,17.2,1396.0,53.5,5.0,2750.0,219.7
31,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,680000.0,100000.0,1,1,1,0,22.54,1396.0,88.73,5.0,2000.0,160.0
32,Tata Sumo CX 10 Str BSIV,2011.0,175000.0,20000.0,1,1,1,0,12.2,1948.0,68.0,0.0,2000.0,160.0
33,Mahindra Verito 1.5 D4 BSIII,2011.0,174000.0,100000.0,1,1,1,2,21.0,1461.0,64.1,5.0,1750.0,200.0
34,Tata Indica Vista Aura Safire Anniversary Edition,2009.0,135000.0,28900.0,3,1,1,2,0.0,1172.0,65.0,5.0,1750.0,200.0
35,Honda WR-V i-DTEC VX,2017.0,950000.0,50000.0,1,1,1,0,25.5,1498.0,98.6,5.0,2000.0,190.0
